"","GSE30577_Rabies_vs_Control"
"110593",0.995366666666667
"110595",-1.8979
"110599566",3.9847
"110606",0.9795
"110611",1.1929
"110616",0.8875
"110639",0.432
"110648",-0.4056
"110651",3.31535
"110696",-1.231
"110749",2.50325
"110750",0.59945
"110751",0.37745
"110784",0.0173333333333333
"110789",0.3746
"110796",-1.67625
"110805",0.8196
"110809",1.8519
"110816",0.2154
"110826",-2.164
"110829",2.3748
"110834",-0.5883
"110835",0.8808
"110855",0.2478
"110862",0.8446
"110876",-1.2403
"110877",3.7017
"110880",-0.2276
"110886",-1.4974
"110891",-0.3075
"110893",-0.2935
"110895",1.39525
"110902",-0.1107
"110911",0.629933333333333
"110920",0.9842
"110935",0.0638
"110954",1.0757
"110956",10.12995
"110957",0.5323
"110958",2.8318
"110959",-0.3068
"110960",2.08635
"110962",-0.0589
"111173",-0.4363
"111174",-1.2024
"111175",0.5755
"112403",0.7583
"112406",0.1488
"112407",1.0009
"112408",0.8826
"112414",-0.2354
"112419",0.6485
"112694759",0.5313
"11287",0.7044
"11298",-0.1765
"113002583",0.0136
"11303",3.8252
"11304",-1.5529
"11306",-0.0404
"11307",-0.8955
"11308",0.4585
"11350",-0.71125
"11352",2.404675
"113523645",0.5189
"11354",-0.118
"11363",-1.0258
"11364",1.8144
"11370",1.7968
"113851",-0.1051
"113852",-1.4493
"113854",2.9843
"113859",-1.1399
"113860",0.2707
"113862",2.346
"113863",0.6592
"113868",1.4163
"11409",-0.3107
"114128",-0.85285
"114141",0.0279
"114142",-0.1273
"114143",-1.3479
"11416",0.04125
"11421",1.5195
"11423",-1.1591
"114230",0.1274
"114249",0.494733333333333
"11425",0.9822
"114255",0.3287
"11426",-0.1251
"11430",-0.8155
"114301",-0.2989
"114304",-0.2263
"11431",1.8653
"11432",1.87303333333333
"11433",3.5557
"114332",1.97915
"11434",-1.1185
"11435",-0.6991
"11438",-0.1187
"11440",-1.0478
"11441",3.0219
"11443",0.3722
"11444",-0.3156
"11447",0.5317
"114479",-0.5154
"11448",-0.10035
"11449",-0.6426
"11450",-0.223
"11451",-0.5374
"114565",-0.70495
"114566",-0.4171
"114584",3.4907
"114585",0.9515
"11459",0.8654
"114601",1.2883
"114604",1.5917
"11461",-0.4813
"114615",0.5022
"11464",0.5698
"114640",-0.6414
"114641",0.2356
"114642",2.5673
"114643",3.8383
"114644",-0.9016
"11465",0.1113
"114652",1.0595
"114660",-0.2271
"114661",0.0947
"114662",0.3871
"114664",2.2803
"114673",1.1377
"114674",0.4221
"114675",-0.5396
"114679",-1.3121
"11470",0.8303
"11471",0.3844
"114712",1.3493
"114713",0.0469
"114715",-0.984666666666667
"114716",0.4292
"11474",0.8268
"114741",0.0403
"11475",0.461775
"11477",0.7132
"114774",-1.5915
"11479",1.4316
"11480",-0.2969
"11482",2.2337
"11486",7.1457
"114863",0.29675
"11487",0.183
"114872",0.4224
"114873",0.97506
"114874",2.6706
"114875",1.12645
"114889",0.2338
"11489",0.4802
"114893",0.14015
"114896",-0.20375
"11490",2.5922
"11491",1.9318
"11495",0.4369
"11496",0.1635
"11497",0.0948
"11499",0.189
"11500",2.152
"11501",5.1894
"11502",0.4601
"11504",5.6195
"11513",1.5031
"11516",-1.0194
"11517",0.583
"11519",-0.9316
"11522",0.8573
"11529",0.2923
"11535",1.657
"11536",5.6675
"11537",0.7488
"11539",-1.172
"11540",0.0905
"11541",1.2167
"11544",-3.5181
"11545",-0.6252
"11546",-0.35965
"11548",-0.1393
"115486493",0.2731
"115486865",-0.6832
"115487729",-0.9318
"115487809",2.3429
"115488525",0.7919
"115488895",0.7447
"115489913",-0.2653
"11549",-0.00555
"115490424",-0.0738
"11550",-1.0096
"11552",1.9372
"11554",0.665
"11556",-0.1283
"11564",0.3227
"11565",2.4936
"11566",0.6869
"11567",-0.5277
"11568",-0.8435
"11569",0.8515
"11571",0.0784
"11572",-1.2722
"11576",-0.3023
"11593",3.25
"11596",0.8207
"11600",2.32295
"11601",8.2802
"11602",0.2269
"11603",0.0913
"11604",-0.4276
"11605",3.417
"11606",-0.0649
"11607",-1.4039
"11608",0.9252
"11610",3.796175
"11611",-1.3609
"11614",-0.0932
"11622",0.0188
"11624",0.5048
"11625",0.6362
"11628",0.2589
"11629",6.80885
"11630",9.4404
"11632",-1.6933
"11634",4.4077
"11637",3.04955
"11639",-1.7327
"11640",-1.3477
"11642",0.6988
"11643",0.38445
"11648",-0.6041
"11650",0.5804
"11651",0.735
"11652",0.4226
"11655",1.41295
"11656",1.5316
"11657",-1.0829
"11658",0.9006
"11666",2.96515
"116701",2.9717
"11671",0.5577
"116732",0.5251
"116733",-0.3429
"11674",-1.5875
"116746",1.2751
"116748",1.1455
"11682",1.4483
"11684",-1.1318
"116847",-1.9792
"116848",0.46224
"11685",1.0971
"11686",-0.6175
"11687",0.7608
"116870",-1.5067
"116871",0.75805
"116872",0.9528
"116873",-0.7828
"11689",0.2025
"116891",2.83185
"11690",7.8796
"116903",-0.0631
"116904",0.7298
"116905",-0.4126
"116914",-0.7262
"11692",2.1103
"11694",3.0575
"116940",1.917625
"11695",1.6517
"116972",0.3215
"11698",-1.7907
"11699",1.3328
"117004",-0.0077
"11704",0.92105
"11705",-0.2561
"117066",-0.0274
"117147",0.203
"117148",-1.8026
"117149",5.8116
"117150",-0.2425
"117158",-0.0621
"117160",-0.8234
"117167",1.9405
"11717",1.9315
"117171",3.5807
"117172",-0.9288
"117197",-0.9224
"117198",1.35625
"11720",0.0276
"11722",-0.5634
"117229",-0.1795
"11727",7.4478
"11735",-1.0615
"11736",6.45095
"11737",-0.1019
"11740",-2.986
